iso,country_name,Transport,Clean cooking,Cold storage,Television,Mobile telephone,Water access,Sanitation,Nutrition,Education,Housing,Cooling,Heating
MAR,Morocco,0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0.308929185591828,0.614294331968773,0.02855172602975575,0,0.17532917721990587,0.90632755052776,0.00661723133406902
MDA,"Moldova, Republic of",0.9042061727968338,0,0,0,0,0.27697001602000493,0.4802827585451006,0.15400231862440775,0.0909139252,0.20586265602613504,0.0844692555243486,0.04155472194900002
MDG,Madagascar,0.9633826852570108,0.993,0.965,0.829,0.6599999999999999,0.5663238515780007,0.7284199815510725,0.3560994449872503,0.30659858700000003,0.7147718706966182,0.386280850514111,0.2704574530190902
MDV,Maldives,0.9699524754744532,0.0209999999999999,0.02200000000000002,0.06200000000000005,0.01300000000000001,0.22495815168794264,0.3672374506131634,0.18233405924975168,0.05699180094153839,0.4512900133004449,0.390777449221075,0
MEX,Mexico,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.575364855055759,0.5445309515244061,0.04324983605908105,0,0.1267104445153134,0.341830498592567,0.02978601017565582
MKD,"Macedonia, the former Yugoslav Republic of",0.5965458237565414,0,0,0,0,0.16577599790296704,0.838430468059829,0.02769854260302173,0.1030893707,0,0.05496873828243,0.23572812186166997
MLI,Mali,0.9633826852570108,0.989,0.897,0.5740000000000001,0.112,0.6757311955599509,0.826646585672226,0.04059290056540735,0.4908612061,0.7571431563394193,0.98,0
MLT,Malta,0.5637514787774341,0,0,0,0,8.9208479492342e-9,0.07010574581895002,0.00415724342027998,0.00713378910000003,0,0.7210526315789474,0.04878105120565526
MMR,Myanmar,0.8506213119131738,0.771,0.84,0.42899999999999994,0.27,0.565246419061503,0.7272800023342127,0.11282709920510632,0.15220398320963852,0.469831953100336,0.854589487891668,0.15553488372093022
MNE,Montenegro,0.5965458237565414,0,0,0,0,0.07501048749987405,0.1305289047304492,0.00527766406139672,0.07421829220000006,0,0,0.23675650069742257
MNG,Mongolia,0.989443252806331,0.842,0.92,0.34299999999999997,0.128,0.7625710999229309,0.5098056211513223,0.15053001760445558,0.015531082149999981,0.38284139726090893,0.0848347642978711,0.4409458111812481
MOZ,Mozambique,0.9633826852570108,0.951,0.829,0.745,0.372,0.6483100414408662,0.8151656023505924,0.26238277402212296,0.5210636139,0.631645532416433,0.9579370944028952,0.00793518199567012
MRT,Mauritania,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.6333940456586836,0.7993837088861847,0.07387348309108513,0.3165692138999999,0.7365838920015018,0.949660965420272,0
MTQ,Martinique,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.33670946263034984,0.5341961101465127,0.06955347918419184,0.04002817500363676,0.24484853494388775,0.4372792730366615,0.00573286022963656
MUS,Mauritius,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.30695294003610885,0.4539921690539641,0.04787937821234065,0,0.6348379531661248,0.6348379531661248,0
MWI,Malawi,0.9633826852570108,0.982,0.949,0.892,0.494,0.5636202775465482,0.7255594606739822,0.14183296246043103,0.17179967608572952,0.6036523250579126,0.904924715863495,0.5435599667034037
MYS,Malaysia,0.8506213119131738,0.6752,0.7096,0.4489999999999999,0.2172000000000001,0.06700187367743393,0.14127436580502806,0.02983978066846847,0,0.18780878808720064,0.18780878808720064,0
MYT,Mayotte,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.6217341241906738,0.7613476883185094,0.1665324996734929,0.29258463113342087,0.6252292035716849,0.6792617177825088,0.1492590482989908
"NAM",Namibia,0.9633826852570108,0.5609999999999999,0.5820000000000001,0.5640000000000001,0.115,0.5231002477738509,0.6826871776306194,0.11268123238000996,0.10871151590813496,0.42007150648776626,0.77289362368111,0.6586201056406206
NCL,New Caledonia,0.8506213119131738,0.6752,0.7096,0.4489999999999999,0.2172000000000001,0.03673655091863903,0.47287738193018164,0.06665608347145958,0.02889847605467288,0.3103059704531108,0.5401475069518068,0.08638372093023255
NER,Niger,0.9633826852570108,0.991,0.967,0.885,0.5,0.6195072068691012,0.9096336444959808,0.13348068044602393,0.3101157379,0.6891223207618384,0.98,0.00330632583152921
NGA,Nigeria,0.9633826852570108,0.853,0.78,0.509,0.121,0.803313252301594,0.735780413295306,0.09355247955802638,0.29258463113342087,0.5910216941540577,0.9378198467636808,0
